"﻿Company Name in Folder","HO Location/URL ","Old/Other Names","Sat Support?"
"78 Derngate Northampton Trust",78derngate,,x
"Access UK Ltd","Single Branch",,x
"Actionwest Business Systems Lt","Single Branch","Action West",x
"Active Leisure",activeleisure,,x
"Age Concern Carlton & District",accd,,x
"Age UK North Craven",ageuknc,,x
"Age UK Wiltshire",ageukwilts,,✓
"Ampleforth Abbey",ampleforthabbey,,x
Anawim,anawim,,✓
"Antur Waunfawr",anturwaunfawr,,x
"Ardfern Yacht Centre","Single Branch",,x
"Ardgowan Hospice ",ardgowan,,✓
"Arthur Rank Hospice",arhc,,✓
"Bantuway Ltd",bantuway,,x
BAVS,Unknown,,✓
"Beeston Marina Ltd","Single Branch",,x
"Bethany Christian Trust",bct,,✓
"Birnam Arts",birnamarts,,x
"Blackness Marine Ltd","Single Branch",,x
"Blue Water Marine ","Single Branch",,x
"Boatworks +",boatworks,,x
"Bolton Hospice",boltonhospice,,✓
"Bosun's Locker Ltd","Single Branch",,x
Brainwave,brainwave,,x
"Bridge House Leisure Ltd","Single Branch","Bridge House Marina",x
"Bridgend Centre","Single Branch",,x
"Bridges Community Shop ","Single Branch",,x
"Brodies Timber","Single Branch",,x
"Buccaneer Limited","Single Branch",,x
"Calcutt Boats Ltd","Single Branch","CB Marine",x
"Caley Marina & Chandlery","Single Branch",,x
Calico,furnm,"Furniture Matters",x
"Carafit Caravan Services","Single Branch",,x
Caramarine,"Single Branch",,x
"Caravan Stuff 4 U Ltd","Peer to Peer",,x
"Caravan Tech Services","Single Branch",,x
"Cerebral Palsy Cymru",cpc,Bobath,x
"Changing Lives Together",clt,"Changing Lives In Cheshire (CLiC)",x
"Charles Camping","Single Branch",,x
"Chelston Leisure","Single Branch","Chelston Motorhomes - C&C Motor Caravans",x
"Cherry Lodge Cancer Care","Local HO",,x
"Chichester Caravans","Single Branch",,x
"Childhood Cancer Parents Alliance",ccpa,CCPA,✓
"Children's Hospices Across Scotland",chas,CHAS,✓
"Chipping Sodbury Caravans Ltd","Single Branch","C&S Caravans",x
"Christian Community Action",cca,CCAM,x
"Church Minshull Aqueduct Marina","Single Branch","Aqueduct Marina",x
"City Hospice Trust Ltd",gthc,gthc?,x
CLAN,clan,"Clan Cancer Support ",✓
"Community Gift Exchange",cge,,x
"Cookstown Caravans","Single Branch",,x
"COPE ",cope,,✓
"Cornwall Air Ambulance Trust",caat,,✓
"Cornwater Evergreens","Local HO",,x
"Crhu Marine",crhu,,x
"Cunninghame Furniture Recycling Company",cfrh,,✓
"Dale Sailing Company",dsc,,x
"Darthaven Marina Ltd","Local HO",,x
